reaction_index,reaction_equation,sensitivity_coefficient
203,NNH <=> H + N2,-1.3050719795380912e-08
204,NNH + M <=> H + N2 + M,-1.4933537631156656e-10
205,NNH + O2 <=> HO2 + N2,-1.6298591773384434e-05
206,NNH + O <=> N2 + OH,-5.861620470548802e-10
207,NNH + O <=> NH + NO,4.347303309765166e-09
208,H + NNH <=> H2 + N2,-5.795580299752014e-09
209,NNH + OH <=> H2O + N2,1.3845858583207475e-09
210,CH3 + NNH <=> CH4 + N2,-1.4788308378758091e-05
211,H + NO + M <=> HNO + M,-1.8581829080297637e-08
212,HNO + O <=> NO + OH,-1.5616843768719877e-08
213,H + HNO <=> H2 + NO,1.6116765283458372e-07
214,HNO + OH <=> H2O + NO,-1.9125756724410516e-08
215,HNO + O2 <=> HO2 + NO,-2.34062747058933e-08
216,CN + O <=> CO + N,3.382059632004906e-08
217,CN + OH <=> H + NCO,7.302646620193438e-08
218,CN + H2O <=> HCN + OH,-7.497602784185699e-10
219,CN + O2 <=> NCO + O,8.753076971393642e-08
220,CN + H2 <=> H + HCN,1.6180788027810837e-07
221,NCO + O <=> CO + NO,2.80430372042622e-08
222,H + NCO <=> CO + NH,2.3058708300761706e-07
223,NCO + OH <=> CO + H + NO,3.925074476490479e-08
224,N + NCO <=> CO + N2,-5.029523290817347e-12
225,NCO + O2 <=> CO2 + NO,7.598275830581435e-10
226,NCO + M <=> CO + N + M,9.160432829242425e-10
227,NCO + NO <=> CO + N2O,-3.0743570253879184e-12
228,NCO + NO <=> CO2 + N2,-1.5736329872656516e-12
229,HCN + M <=> CN + H + M,-7.361961880572237e-13
230,HCN + O <=> H + NCO,6.031377695540125e-07
231,HCN + O <=> CO + NH,2.796967105735161e-07
232,HCN + O <=> CN + OH,-2.3246892516791018e-07
233,HCN + OH <=> H + HOCN,9.306630579153648e-08
234,HCN + OH <=> H + HNCO,2.0838957177454982e-08
235,HCN + OH <=> CO + NH2,4.592785205851653e-09
236,H + HCN (+M) <=> H2CN (+M),1.883130214628464e-08
237,H2CN + N <=> CH2 + N2,-1.981482945315289e-09
238,C + N2 <=> CN + N,-7.512641800622458e-09
239,CH + N2 <=> HCN + N,-7.679106322265455e-08
240,CH + N2 (+M) <=> HCNN (+M),3.573441399129667e-10
241,CH2 + N2 <=> HCN + NH,3.625307590480805e-09
242,CH2(S) + N2 <=> HCN + NH,4.600147175972307e-11
243,C + NO <=> CN + O,-1.4442539128043167e-10
244,C + NO <=> CO + N,1.0834060866226719e-10
245,CH + NO <=> HCN + O,-6.015056839317714e-09
246,CH + NO <=> H + NCO,9.885753981094095e-10
247,CH + NO <=> HCO + N,1.4656633811389421e-09
248,CH2 + NO <=> H + HNCO,-1.4031493723712365e-08
249,CH2 + NO <=> HCN + OH,-1.3643988469239751e-08
250,CH2 + NO <=> H + HCNO,-4.896174261298434e-09
251,CH2(S) + NO <=> H + HNCO,2.0963771990336066e-10
252,CH2(S) + NO <=> HCN + OH,-1.9227626315334733e-09
253,CH2(S) + NO <=> H + HCNO,2.0973443182434193e-11
254,CH3 + NO <=> H2O + HCN,-5.1067568512585746e-08
255,CH3 + NO <=> H2CN + OH,-3.979203162705044e-09
256,HCNN + O <=> CO + H + N2,3.4092145535621847e-10
257,HCNN + O <=> HCN + NO,1.1746994196177083e-11
258,HCNN + O2 <=> HCO + N2 + O,-3.8704784117207245e-09
259,HCNN + OH <=> H + HCO + N2,9.630103913424598e-10
260,H + HCNN <=> CH2 + N2,-4.6587493859064746e-08
261,HNCO + O <=> CO2 + NH,2.819909063391928e-09
262,HNCO + O <=> CO + HNO,1.435833936950352e-12
263,HNCO + O <=> NCO + OH,1.5994692616164323e-08
264,H + HNCO <=> CO + NH2,2.786965730065867e-10
265,H + HNCO <=> H2 + NCO,-3.0846021088698804e-07
266,HNCO + OH <=> H2O + NCO,-2.6802449347106596e-08
267,HNCO + OH <=> CO2 + NH2,1.4207403914062284e-09
268,HNCO + M <=> CO + NH + M,8.506525169749601e-11
269,H + HCNO <=> H + HNCO,1.0117402161395735e-11
270,H + HCNO <=> HCN + OH,-6.098256228749905e-10
271,H + HCNO <=> CO + NH2,1.5701722513485865e-11
272,H + HOCN <=> H + HNCO,1.6941934766281077e-08
273,HCCO + NO <=> CO + HCNO,2.9371461741356603e-09
274,CH3 + N <=> H + H2CN,-1.2060707083686751e-06
275,CH3 + N <=> H2 + HCN,9.614558126537773e-07
276,H + NH3 <=> H2 + NH2,-1.0115906861924284e-08
277,NH3 + OH <=> H2O + NH2,-1.4474700250992885e-09
278,NH3 + O <=> NH2 + OH,-2.729341102880556e-11
279,CO2 + NH <=> CO + HNO,-3.723101660815857e-12
280,CN + NO2 <=> NCO + NO,2.9446309810992783e-12
281,NCO + NO2 <=> CO2 + N2O,4.2663949918128355e-13
282,CO2 + N <=> CO + NO,-3.199223223724415e-10
283,CH3 + O => CO + H + H2,0.24024337712318616
284,C2H4 + O <=> CH2CHO + H,-0.0076371287911757985
285,C2H5 + O <=> CH3CHO + H,0.004308968061543351
286,HO2 + OH <=> H2O + O2,0.15268986945056098
287,CH3 + OH => CH2O + H2,0.02684807846150883
288,CH + H2 (+M) <=> CH3 (+M),-7.343967783733812e-05
289,CH2 + O2 => CO2 + 2 H,-0.0764679294278896
290,CH2 + O2 <=> CH2O + O,0.041437308522201816
291,2 CH2 => C2H2 + 2 H,8.964791775120543e-06
292,CH2(S) + H2O => CH2O + H2,0.0007477708038019682
293,C2H3 + O2 <=> CH2CHO + O,-0.013747440608963378
294,C2H3 + O2 <=> C2H2 + HO2,0.0008744519736337299
295,CH3CHO + O <=> CH2CHO + OH,-4.5241631945421207e-05
296,CH3CHO + O => CH3 + CO + OH,-1.1478026331779565e-05
297,CH3CHO + O2 => CH3 + CO + HO2,-2.7697912459301905e-05
298,CH3CHO + H <=> CH2CHO + H2,0.00036567393545237697
299,CH3CHO + H => CH3 + CO + H2,0.0006234727522730295
300,CH3CHO + OH => CH3 + CO + H2O,0.00031384598001219947
301,CH3CHO + HO2 => CH3 + CO + H2O2,-4.057881584900819e-06
302,CH3CHO + CH3 => CH4 + CO + CH3,-1.045626881815029e-06
303,CH2CO + H (+M) <=> CH2CHO (+M),-0.0005006902294247181
304,CH2CHO + O => CH2 + CO2 + H,3.848183562904369e-05
305,CH2CHO + O2 => CH2O + CO + OH,8.741391616732091e-06
306,CH2CHO + O2 => 2 HCO + OH,-4.784182512194538e-05
307,CH2CHO + H <=> CH3 + HCO,1.9527861896484997e-05
308,CH2CHO + H <=> CH2CO + H2,7.004487154919955e-05
309,CH2CHO + OH <=> CH2CO + H2O,5.418238120267935e-05
310,CH2CHO + OH <=> CH2OH + HCO,0.00015124526889839386
311,C2H5 + CH3 (+M) <=> C3H8 (+M),1.6721845141280474e-05
312,C3H8 + O <=> C3H7 + OH,7.641343250190704e-07
313,C3H8 + H <=> C3H7 + H2,5.17494353387994e-06
314,C3H8 + OH <=> C3H7 + H2O,2.7170335573084645e-06
315,C3H7 + H2O2 <=> C3H8 + HO2,-3.6711686615365253e-09
316,C3H8 + CH3 <=> C3H7 + CH4,1.7628594037685826e-07
317,C2H4 + CH3 (+M) <=> C3H7 (+M),-1.5565925801418224e-06
318,C3H7 + O <=> C2H5 + CH2O,9.184463678704342e-07
319,C3H7 + H (+M) <=> C3H8 (+M),-2.140114361171479e-09
320,C3H7 + H <=> C2H5 + CH3,-1.8644355003944508e-05
321,C3H7 + OH <=> C2H5 + CH2OH,5.3464885146301816e-08
322,C3H7 + HO2 <=> C3H8 + O2,1.205269266556393e-09
323,C3H7 + HO2 => C2H5 + CH2O + OH,-3.0740585856521564e-07
324,C3H7 + CH3 <=> 2 C2H5,3.7335592828562563e-06
